Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month
10/10/2016,13:15:00,10/10/2016,19:00:00,Texas:,TRE,Generation Inadequacy,Unknown,Unknown,2016,October,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,
10/12/2016,12:09:00,10/12/2016,13:16:00,Nevada: Clark County;,WECC,Vandalism,4,1671,2016,October,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
10/18/2016,14:06:00,10/21/2016,15:00:00,"Oregon: Deschutes County, Lake County;",WECC,Vandalism,0,0,2016,October,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
10/20/2016,12:30:00,10/20/2016,12:31:00,Oregon:,WECC,Vandalism,0,0,2016,October,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
10/25/2016,07:40:00,10/27/2016,07:40:00,Tennessee: Shelby County;,SERC,Vandalism,0,0,2016,October,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
10/26/2016,05:26:00,10/26/2016,05:27:00,Wyoming: Sweetwater County;,WECC,Vandalism,0,0,2016,October,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
10/28/2016,13:29:00,10/28/2016,13:38:00,California: Plumas County;,WECC,Islanding,4,482,2016,October,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,
2016-10-31 00:00:00,08:06:00,10/31/2016,15:53:00,North Carolina: Stokes County;,SERC,Actual Physical Event,0,0,2016,October,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,
11/09/2016,11:59:00,11/09/2016,18:15:00,"California: Stanislaus County, San Joaquin County, Alameda County, Tuolumne County;",WECC,Cyber Attack,0,0,2016,November,Cyber event that could potentially impact electric power system adequacy or reliability,
11/09/2016,06:44:00,11/09/2016,07:44:00,California:,WECC,Vandalism,0,0,2016,November,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
11/01/2016,20:55:00,Unknown,Unknown,Washington: Clark County;,WECC,Transmission Interruption,0,0,2016,November,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,
